Token		Type
_________________________________
int		DataType
factorial	ID
(		LeftParentheses
int		DataType
x		ID
)		RightParentheses
{		LeftBraces
if		If
x		ID
>		GreaterThan
0		Num
then		Then
/*don’t compute if x <= 0 */	Comment
int		DataType
fact		ID
:=		Assign
1		Num
;		SemiColon
repeat		Repeat
fact		ID
:=		Assign
fact		ID
*		Times
x		ID
;		SemiColon
x		ID
:=		Assign
x		ID
–		Error
1		Num
;		SemiColon
until		Until
x		ID
=		Equal
0		Num
end		End
return		Return
fact		ID
;		SemiColon
}		RightBraces
int		DataType
main		Main
(		LeftParentheses
)		RightParentheses
{		LeftBraces
float		DataType
z		ID
:=		Assign
10		Num
;		SemiColon
z1		ID
:=		Assign
z1		ID
+		Plus
1.5		Num
*		Times
factorial	ID
(		LeftParentheses
5		Num
)		RightParentheses
;		SemiColon
if		If
z1		ID
<		LessThan
>		GreaterThan
35		Num
then		Then
write		Write
"the val of z1 + 1.5*factorial(5) is ="	String
;		SemiColon
elseif		ElseIf
z1		ID
=		Equal
35		Num
then		Then
z1		ID
:=		Assign
0.0		Num
;		SemiColon
end		End
return		Return
0		Num
;		SemiColon
}		RightBraces
eof		EndFile
